word;polarity;Retranslation
zijn goedkeuring te geven;1;donner son accord
donor;1;bailleurs de fonds
slaper: slaper;1;dormeur : dormeur
zachte;1;mous
begiftigen;1;doter
Dean;1;Dean
de gouverneur;1;le gouverneur
de me | vorige maand;1;le me | mois dernier
Dual;1;Double
dupliceren;1;deux exemplaires
pluizig;1;moelleux
meten;1;de mesure
Scout;1;Scout
glans;1;brillant
Econome;1;Économe
stroom;1;flux
schuim;1;mousse
gebouw;1;bâtiment
Redacteur;1;Rédacteur en chef
impuls;1;impulsion
kiezer;1;Sélecteur de
Fokker;1;Eleveur
toespraak;1;discours
Packer;1;Emballeur
Eminent;1;Éminent
Packer | Packer;1;Emballeur | Emballeur
gebruik;1;utilisation
gebruik van office;1;utilisation de bureau
digitale footprint;1;empreintes digitales
Voorwaarts;1;Vers l’avant
dupliceren;1;deux exemplaires
in extase;1;dans l’extase
Ivoor;1;Ivoire
Goud;1;Or
volledig;1;entièrement
bieder;1;soumissionnaire
slaap;1;sommeil
jas;1;veste
huren;1;Location
onderzoeker;1;chercheur
overeenkomst;1;accord
geheel getal;1;nombre entier
pittige;1;épicé
Coach;1;Autocar
matchmaker;1;marieur
over: omgeving;1;sujet : environnement
Verzenden;1;Envoyer
kruidenier;1;magasin d’alimentation
vrouw;1;femme
equivalent;1;équivalent
soorten;1;types de
ondeugend;1;coquines
ramen;1;Windows
stap;1;étape
Lord;1;Seigneur
vraag me af;1;me demande
een leerling wordt;1;un élève est
knuffel;1;câlin
omhelzing;1;étreinte
student;1;Student
suggestieve;1;suggestive
examinator;1;examinateur
uitzonderlijke;1;exceptionnel
excursie;1;excursion
excuus;1;excuse
Wat zegt u;1;Excusez-moi
Executeur;1;Exécuteur testamentaire
uitgebreide;1;une vaste
bestaan;1;existence
bestaan;1;existence
experimentator;1;expérimentateur
experiment;1;Experiment
expert;1;expert
expertise;1;expertise
toelichting;1;Notes
fabrikant;1;Référence du fabricant
vervaardiging;1;fabrication
gemakkelijk;1;facile
Optioneel;1;En option
winkelen;1;Shopping
een dutje;1;une sieste
haalbaar;1;faisable
familie;1;famille
Fanatic;1;Fanatique
Leprechaun;1;Farfadet
gunstige;1;commode
vruchtbare;1;fertiles
vrouw;1;femme
boer;1;agriculteur
gesp;1;boucle
Avid;1;Avid
fervor;1;ferveur
Feest;1;Parti
feestelijke;1;festive
vilten;1;le feutrage
gelovigen;1;croyants
trots op;1;fier
figuratieve;1;figuratif
vleiend;1;flatteur
gek: dolblij;1;fou : joie
doorzetter;1;fonceur
functionele;1;fonctionnels
oprichter;1;fondateur
noodzakelijkerwijs;1;nécessairement
formatieve;1;formative
Trainer;1;Formateur
formulier;1;formulaire
Fort;1;Fort
Fort;1;Fort
Van;1;Par
franc;1;franc
broederlijke;1;fraternelle
succesvolle;1;réussie
vrucht van de verbeelding;1;fruit de l’imagination
winnaar;1;vainqueur
winst;1;but lucratif
Kid;1;Kid
borg;1;Borg
voogd;1;tuteur
gekwetter;1;Tweet
Gem;1;GEM
generaliseren;1;généraliser
Generator: generator;1;Générateur : générateur
Royale;1;Royale
soort;1;En quelque sorte
John;1;John
slagroom;1;crème fouettée
Als een geheel;1;Dans son ensemble
Glume;1;Glume
pod;1;Pod
sierlijke;1;orné
geleidelijke;1;progressive
graan;1;grain
grote kamer;1;grande salle
graveur;1;graveur
te genezen;1;cure
hoofd van de bevolking;1;habitant
jas;1;veste
gebruikt;1;utilisé
gebruikelijke;1;habituel
harmonische;1;Harmonique
oudere;1;plus âgés
Gelukkig;1;Heureux
historicus;1;historien
uitstaande;1;en circulation
vuurvaste;1;produits réfractaires
onbeperkt;1;illimité
illustreert;1;illustre
fantasierijke | fantasierijke;1;imaginatifs | imaginatif
Onbevlekt;1;Immaculé
enorme;1;énorme
onsterfelijke: onsterfelijk;1;immortel : immortel
opnemen;1;enregistrement
onvergelijkbare;1;à imbattable
indicatie;1;indication
netnummer;1;indicatif régional
de visserij-industrie;1;l’industrie de la pêche
ijverig;1;diligent
niet aflatende;1;implacable
Informant;1;Informateur
ingenieuze;1;ingénieux
initiatiefnemer;1;initiateur
starten;1;Début
onschuldige;1;innocent
onschadelijk;1;inoffensifs
Inspecteur;1;Inspecteur
instinctieve;1;instinctive
informatief;1;informative
instructeur;1;instructeur
instrueren;1;demander à
intellectuele;1;intellectuelle
Interviewer;1;Intervieweur
respondent;1;intimé
inleidende;1;Introduction
introspectieve;1;introspective
intuïtieve;1;intuitive
onveranderlijk;1;invariablement
inventieve;1;activité inventive
uitvinder;1;inventeur
onderzoeker;1;chercheur
iteratieve;1;itératif
Eenmaal;1;Fois
kansspel;1;jeu de hasard
juwelier;1;magasin de bijoux
jovial;1;jovial
Vrolijk;1;Joyeux
vreugdevol;1;joyeuse
verstandig;1;sage
Twin;1;Lits jumeaux
de meest intieme;1;les plus intimes
de meest geheime;1;les plus secrets
laineur: wollige;1;laineur : laineux
zuivel;1;produits laitiers
Melkachtig;1;Laiteux
Blade;1;Lame
slat;1;lamelle
laterale;1;latérale
winnaar;1;vainqueur
licht;1;lumière
Wetgevende;1;Législatif
wetgever;1;législateur
Liberale;1;Libéral
wellustig;1;Randy
Woody;1;Ligneuses
aangrenzende;1;adjacentes
Babybed;1;Lit bébé
bed kooi;1;cage de lit
zin;1;sens
luidspreker;1;haut-parleur
huisvesting;1;logement
lange;1;long
prijzenswaardig;1;louable
trouwe;1;fidèle
loyaliteit;1;fidélité
lucratieve;1;lucrative
helder;1;brillant
Pools;1;Polonais
luxe;1;luxe
goochelaar;1;magicien
omvang;1;taille
Master's degree;1;Diplôme de maîtrise
Majesteit;1;Majesté
Majestic;1;Majestic
smeedbaar gietijzer;1;fonte malléable
handige;1;portée de main
protesteerder;1;manifestant
Manifest;1;Manifeste
Handmatig;1;Manuellement
Koopman;1;Marchand
Koopman van groenten en fruit;1;Marchand de fruits et légumes
Walker;1;Walker
matchmaker;1;marieur
mannelijkheid;1;masculinité
matras;1;matelas
Quilten;1;Quilting
materiaal;1;matériel
moeders;1;mères
wiskundige;1;mathématiques
maximale;1;maximale
monteur;1;mécanicien
mechanisme;1;mécanisme de
bemiddelaar: bemiddelaar;1;Médiateur : médiateur
Mediterrane;1;Méditerranée
mix;1;mélanger
melodieuze;1;mélodique
menstruele;1;cycle menstruel
menu;1;menu
verdienen;1;Gagnez
prachtige;1;belle
Messenger;1;Messager
Business;1;Entreprise
voorwaardelijke invrijheidstelling;1;libération conditionnelle
Ministeriële;1;Ministérielle
Tiny;1;Minuscule
zorgvuldige;1;attention
wonderbaarlijke;1;miraculeuse
barmhartig;1;Miséricordieux
model;1;modèle
Moderator;1;Modérateur
matig;1;modérément
bescheiden;1;modeste
Berg;1;Montagne
Mount;1;Mont
verkeer;1;trafic
gemiddelde;1;moyenne
muzikant;1;musicien
wederzijdse;1;mutuelle
Verteller;1;Narrateur
Browser;1;Navigateur
handelaar;1;négociant
onderhandelaar;1;négociateur
besneeuwde;1;neigeux
nerveus;1;nerveux
NET;1;JUSTE
genomineerd;1;nominé
naam;1;nom
geen kracht;1;pas la force
Geen vlek;1;Aucune tache
nonchalant;1;nonchalant
Nun;1;Nonne
normatieve;1;normative
bekendheid;1;Fame
Nieuw;1;Nouveau
nieuwkomer | komen;1;nouveau venu | Venez
voedzaam;1;nutritifs
doel;1;objectif
verplichte;1;obligatoire
Waarnemer;1;Observateur
verloskundige;1;sage-femme
kans;1;chance
Casual;1;Casual
bewoner;1;résident
geur;1;odeur
celebrant;1;célébrant
vettigheid;1;onctuosité
zalf;1;pommade
operationele;1;opérationnelles
operator;1;opérateur
tijdige;1;en temps opportun
Optioneel;1;En option
luidspreker;1;haut-parleur
Organisatie;1;Organisation
Organisator;1;Organisateur
Ottomaanse: Ottomaanse;1;Ottoman : Ottoman
werknemer;1;employé
Palisade;1;Palissade
pakket;1;paquet
Interim;1;Intérimaire
onder;1;en vertu de
Delen;1;Pièces
deeltje;1;particule
aanhanger;1;remorque
passagier;1;passager
ruit;1;Diamant
oude man;1;vieil homme
baas: baas;1;patron : patron
betaler;1;donneur d’ordre
Gedurende deze tijd;1;Pendant ce temps
kast;1;Armoire
denker;1;penseur
doordachte;1;réfléchie
vader;1;père
Permanente;1;Permanente
toestaan;1;permettre à
tolerante;1;tolérant
eeuwigdurende;1;Perpetual
blijven bestaan;1;continuent d’exister
Geen sonde;1;Pas de sonde
inzichtelijke;1;perspicace
overtuigend;1;convaincante
relevante;1;pertinentes
Twinkle;1;Twinkle
apotheker;1;votre pharmacien
fenomenaal;1;phénoménal
Foto;1;Photo
fotokopie;1;photocopie
natuurkundige;1;physicien
Natuurkunde;1;Physique
voetgangers;1;piétonne
palen;1;Pôles
Duiventil;1;Colombier
Pionier;1;Pionnier
aangenaam;1;agréable
midden van de zomer;1;milieu de l’été
Opvouwbaar;1;Pliable
duik;1;plongée
Duiker;1;Plongeur
meervoud;1;du pluriel
Koelwagen;1;Glacière
grootste;1;plus grand
Hogere;1;Plus élevé
droger;1;sécheuse
zwaar gewicht;1;poids lourd
Tip;1;Astuce
Pools;1;Polonais
Politie;1;Police
politieagent;1;agent de police
beleefdheid;1;courtoisie
eenmalige;1;non récurrents
vervoerder;1;transporteur
potentieel;1;potentiel
pragmatiek;1;pragmatique
beoefenaar;1;praticien
praktijk;1;pratique
kostbare;1;précieux
preferentiële;1;préférentiel
voorontwerp;1;pour la conception
eerste;1;première
eersteling;1;Eagle
nemer;1;employé
bereiden;1;préparer
behouden;1;conserver
De Voorzitter;1;Président
geldschieter;1;prêteur
preventieve;1;préventive
primaire;1;primaire
prinselijke;1;princière
Lente;1;Printemps
wonderbaarlijke;1;miraculeuse
productief;1;productives
producent;1;producteur
prominentie;1;proéminence
prominente;1;éminent
Leerstoel;1;Chaise
Programmeur;1;Programmeur
progressieve;1;progressive
Walker;1;Walker
veelbelovende;1;prometteur
promotionele;1;promotionnels
promotor;1;promoteur
profetes;1;prophétesse
proportionele;1;proportionnelle
goed;1;bon
Protector;1;Protector
Protestantse;1;Protestant
nabijheid;1;proximité
zorgvuldig;1;soigneusement
trui;1;Pull
pure;1;pure
zuiverend;1;purifiant
vermeende;1;allégué
kwalificatie;1;qualification
kwalificatie;1;qualification
kwantitatieve;1;quantitatives
bijna;1;presque
die beginnen;1;qui commencent
die resoneren;1;qui résonnent
race;1;course
spinale;1;la colonne vertébrale
Stralende;1;Radiant
verfijnen;1;J’affine ma sélection
Vernieuwen;1;Actualisation
wandelaar;1;Walker
rationeel;1;Rational
bijtanken in de lucht;1;ravitaillement en vol
straalt;1;rayonne
straling;1;rayonnement
reagens;1;réactif
haalbaar;1;faisable
herontwikkeling;1;redéveloppement
Samenvatting;1;Résumé
onlangs;1;récemment
ontvankelijk;1;réceptif
Ontvangen;1;Récupérée
vergoeding in aanmerking komen;1;récupérables
recreatieve;1;récréatives
collectie;1;collection
redactie;1;éditorial
Hoofdredacteur;1;Rédacteur en chef
weerspiegelen;1;tenir compte de
hervormer;1;réformateur
Regal;1;Regal
Regent;1;Regent
instelling;1;réglage
Reglement van orde;1;Règles de procédure
regelmatige;1;régulière
release;1;Communiqué de
relatieve;1;relative
opmerkelijke;1;remarquable
lonende;1;gratifiant
Naam wijzigen;1;Changement de nom
reparateur;1;réparateur
distribueren;1;distribuer
respijt;1;répit
vertegenwoordiger;1;représentant
vertegenwoordiger;1;représentant
Speler: reproductieve;1;Joueur : reproduction
Republikeinse;1;Républicain
Resident;1;Résident
resistente;1;résistant à la
respectieve;1;respectifs
eco-vriendelijke;1;respectueux de l’environnement
glans;1;brillant
pensioen;1;pension
Recycleer;1;Recycle
met terugwerkende kracht;1;avec effet rétroactif
vergadering;1;réunion
slagen;1;réussir
Ontwikkelaar;1;Développeur
eerbiedig;1;respectueusement
Dreamer;1;Rêveur
ritueel;1;rituel
Rotary;1;Rotary
Backpacker;1;Routard
nationale weg;1;route nationale
Brook;1;Brook
wijsheid;1;sagesse
veilig en gezond;1;sain et sécuritaire
Saint;1;Saint
Sedan;1;Berline
bloed;1;sang
voortdurend;1;constamment
zonder gelijke;1;sans égal
ongehinderd;1;sans entrave
zonder einde;1;sans fin
zonder geschiedenis;1;sans histoire
zonder oppositie;1;sans opposition
voldoen aan;1;répondre à
Geleerde;1;Érudit
smakelijke;1;savoureux
nauwgezette;1;méticuleuse
beeldhouwer;1;sculpteur
Vergeet niet;1;N’oubliez pas
Selecteer;1;Sélectionnez
soortgelijke;1;similaires
vaste plant;1;plante vivace
sensationele;1;sensationnel
gevoelige;1;sensibles
Sensorische;1;Sensorielle
sensuele;1;sensuelle
geur;1;odeur
Trail;1;Sentier
sentimentele;1;sentimental
sereen;1;serein
Zitten u voornaam;1;T'es sérieux
eed;1;serment
teken;1;signe
eenvoudige;1;simple
oprechtheid;1;sincérité
enkelvoud;1;du singulier
sloep;1;sloop
SMS;1;SMS
stollen;1;solidifier
Top;1;Retour au début
weelderige;1;luxuriant
sonde;1;sonde
nadenkend;1;pensée
Beau;1;Beau
flexibele;1;flexible
flexibiliteit;1;flexibilité
Inschrijving Sub;1;Enregistrement sous
Sovereign;1;Souverain
zijdeachtige;1;soyeux
ruime;1;spacieux
Viewer;1;Spectateur
geestelijke;1;mentale
spontane;1;spontanée
Sportman;1;Sportsman
Statisticus;1;Statisticien
Winkel;1;Boutique
stratum;1;strate
structurele;1;structurels
aanzienlijke;1;important
zelfstandig naamwoord;1;substantif
subtiliteit;1;subtilité
opeenvolgende;1;successifs
suggestief;1;suggestive
Suite;1;Suite
Pinnacle;1;Pinnacle
Superior;1;Superior
smeekbede;1;supplication
aanhanger;1;remorque
veronderstelling;1;prise en charge
float;1;flotteur
toezichthouder;1;superviseur
genereren;1;générer des
Sweatshirt;1;Sweat-shirt
getalenteerde;1;talentueux
plagen;1;teasing
technicus;1;technicien
temporele;1;temporelle
vasthoudend;1;tenace
trend;1;tendance
voltooien;1;Finition
land;1;pays
theoloog;1;théologien
schieten;1;prise de vue
weven;1;tissage
tolerantie;1;tolérance
aanraken van;1;toucher
beurt;1;tour
alle krachtige;1;toute puissante
alle de twee week;1;toutes les deux semaines
transactie;1;transaction
transitieve;1;transitive
werknemer: een werknemer;1;employé : un employé
Ford;1;Ford
Penningmeester;1;Trésorier
Triple;1;Triple
Troubadour;1;Troubadour
zoeken;1;Recherche
Guardian: voogd;1;Tuteur : gardien
ultieme;1;ultime
ultraviolet;1;ultra violet
een geloof: twee keer per week;1;une croyance : deux fois par semaine
consistentie;1;cohérence
Universeel;1;Universal
Valiant;1;Valiant
onregelmatige;1;irrégulière
Vegetarisch;1;Végétarien
velutinous;1;vélutineuse
verkoper;1;vendeur
Ventriculaire;1;Ventriculaire
uitgebreide;1;une vaste
Controleur: accountant;1;Réviseur : comptable
echte;1;Real
vernis;1;vernis
betaling;1;paiement
deugdzaam;1;vertueux
kleding;1;vêtements
overwinnaar;1;Victor
krachtige;1;puissant
dorpelingen;1;villageois
Violet: violet;1;Violet : violet
bezoeker;1;visiteur
Visuele;1;Visual
beglazing;1;vitrage
v? u;1;v ? vous
buurman;1;voisin
wulpse;1;voluptueuse
Reiziger;1;Voyageur
licht;1;lumière
Yay;1;Yay
maternale school;1;école maternelle
een geloof | tijd alle twee mij | maand;1;une croyance | tous les deux temps moi | mois
card  kilo;1;carte km
op basis van de plant;1;sur la base de la plante
aan boord;1;à bord
Hoodie;1;Chandail à capuchon
aan de tegel;1;au carreau
op voorwaarde dat;1;à condition que
Bareback;1;Bareback
op doel;1;sur le but
bestemming van;1;destination de
aan het blad;1;à la feuille
bloem;1;fleur
Galore;1;Gogo
doordat ze sth;1;a force de qch
sterke borst;1;forte poitrine
Curling;1;Curling
op regelmatige tijdstippen;1;à intervalles réguliers
Forever;1;Pour toujours
terecht;1;visite
in het buitenland;1;à l’étranger
met eenparigheid van stemmen;1;par décision unanime
de goede franquette;1;la bonne franquette
de munt;1;la pièce de monnaie
hebben de modus;1;a la mode
modus;1;mode
de gepensioneerde;1;les retraités
half-weg;1;à mi-chemin
ongeboren;1;à naître
weer;1;météo
naar dock;1;à quai
op zijn eigen;1;de son propre chef
spiraal: spiraal;1;bobine : spirale
tot succes;1;de la réussite
thema;1;Thème
Forever;1;Pour toujours
alle testen;1;tous les tests
stuurboord;1;tribord
om te komen;1;à venir
tot leven;1;à la vie
de waarheid wordt verteld;1;à vrai dire
buik;1;Ventre
abdominale;1;abdominale
in overvloed;1;en abondance
overvloedige;1;abondante
abonnement;1;abonnement
adres;1;adresse
Aborigines;1;Aborigènes
leiden;1;plomb
verkorten;1;raccourcissement
water trog;1;bac à eau
afkorting;1;abréviation
Shelter;1;Abri
ontslaat;1;ne dégage pas
Absolution;1;Absolution
absorberen;1;absorber les
absorptie;1;absorption
Abstract;1;Résumé
Academie;1;Académie
academische;1;académique
accalmir;1;accalmir
toegang;1;accès
Versnelling;1;Gear
nadruk;1;accent
accentueren;1;faits saillants
accepteren;1;accepter
aanvaarding;1;acceptation
accepteren;1;accepter
toegang;1;accès
toegankelijk;1;accessible
toetreding;1;adhésion
acclamatie;1;acclamation
Cheer;1;Cheer
Brace;1;Croisillon
geschikt voor;1;adapté aux
accommodatie;1;Hébergement
begeleiden;1;Guide de
ondersteuning;1;prise en charge
bereiken;1;portée
vervulling;1;Fulfillment
afstembare;1;accordable
Grant;1;Grant
accordeon;1;accordéon
overeenkomst;1;accord
wennen;1;s’y habituer
accredit;1;accréditer
verhoging van de;1;augmentation de la
verhoging van de;1;augmentation de la
geloof;1;foi
geloof: vergroten;1;foi : agrandir
Huis;1;Maison
Welkom;1;Bienvenue
accumuleren;1;s’accumulent
aankoop;1;achat
route slang;1;Itinéraire flexible
vervoer door de lucht;1;transport par avion
kopen;1;acheter
voltooien;1;Finition
voltooiing;1;fin
staal;1;en acier
storting;1;dépôt
akoestiek;1;acoustique
koper;1;cuivre
verwerven;1;acquérir
berusting;1;démission
Acrobat;1;Acrobat
Wet;1;Droit
activa;1;éléments d’actif
actie;1;action
Thanksgiving;1;Action de grâces
aandeelhouder;1;actionnaire
activiteit;1;activité
actuaris;1;actuaire
Nieuws;1;Nouvelles
gezichtsscherpte;1;Acuité visuelle
Acupunctuur;1;Acupuncture
gezegde;1;dicton
aanpassingsvermogen;1;capacité d’adaptation
aanpasbaar;1;personnalisable
aanpassing;1;réglage
aan te passen;1;pour ajuster
Addendum;1;Additif
Toevoegen;1;Ajouter
extra;1;supplémentaire
adept;1;Adept
voldoende;1;suffisante
geschiktheid;1;remise en forme
Join;1;Rejoignez les
grip;1;Grip
Lid;1;Membres
Join;1;Rejoignez les
lidmaatschap;1;adhésion
aangrenzende;1;adjacentes
bijvoeglijk naamwoord;1;adjectif
Belkin;1;Belkin
Toevoegen;1;Ajouter
adjuvans;1;adjuvant
toegeven;1;admettre
beheren;1;gérer
sth geven SB;1;donner SB sth
bewonderenswaardig;1;admirable
bewondering;1;admiration
Bewonder;1;Admirer
in aanmerking te komen;1;afin de se qualifier
toelating;1;admission
Adobe;1;Adobe
tieners;1;ados
aannemen;1;Supposons
aanneming;1;adoption
schattig;1;mignon
aanbidding;1;adoration
liefde;1;amour
tiener: tieners;1;adolescent : ados
Leun achterover;1;Reposez-vous en arrière
verzachten;1;adoucir
verzachten;1;adoucir
verzachten;1;adoucir
adres;1;adresse
adres;1;adresse
Adroit;1;Adroit
volwassene;1;adulte
beluchting;1;aération
Ventileren;1;Ventilation
luchtvaartterrein;1;aérodrome
aerodynamica;1;aérodynamique
Hovercraft;1;Aéroglisseur
Lucht-en ruimtevaart;1;Aéronautique et espace
Luchthaven;1;Aéroport le plus pratique
aërosol;1;aérosol
drukte;1;agitation
toewijzing;1;allocation
genegenheid;1;affection
weergeven;1;Voir
poster;1;affiche
weergave;1;afficher
beëdigde verklaring;1;déclaration sous serment
aansluiting;1;connexion
Affiliate;1;Société affiliée
raffinage;1;affinage
verfijnen;1;J’affine ma sélection
affiniteit;1;affinité
bevestigend;1;discrimination positive
bevestiging;1;confirmation
bevestigend;1;discrimination positive
doen gelden;1;s’appliquent
affix;1;affixe
zijrivier;1;affluent
Handvest;1;Charte
Agaat;1;Agate
Agentschap;1;Agence
Agent;1;Agent de
effectenmakelaar;1;courtier en valeurs mobilières
agglomeratie;1;agglomération
Agile;1;Agile
Agility;1;Agilité
Wet;1;Droit
acties;1;actions
Lam;1;Agneau
nietje;1;Staple
landbouw;1;Agriculture
Landbouw;1;Agriculture
Help;1;Aide
Help;1;Aide
Eagle;1;Eagle
acute marine;1;aiguë marine
verwijzen;1;se référer
Spur;1;Épi
Vleugel;1;Aile
gaan;1;aller
Fin;1;Fin
vriendelijke;1;amicale
magneet;1;aimant
airbag;1;coussin gonflable
gebied;1;zone
Speeltuin;1;Jeux pour les enfants
gemak;1;plus de commodité
gemakkelijk;1;facile
toe te voegen;1;Ajouter
Toevoegen;1;Ajouter
aanpassing;1;réglage
aanpassen;1;Personnaliser
aanpassing;1;réglage
Albast;1;Albâtre
album;1;album
alkali;1;alcali
alkaloïde;1;alcaloïde
Alchemie;1;Alchimie
alkoof;1;alcôve
waarschuwing;1;mise en garde
algebra;1;algèbre
algebraïsche;1;algébrique
algoritme;1;algorithme de
alibi;1;alibi
